School,Nickname,City,State,Conference
Adrian College,Bulldogs,Adrian,MI,Michigan Intercollegiate Athletic Association
Agnes Scott College,Scotties,Decatur,GA,Southern Collegiate Athletic Conference
Albertus Magnus College,Falcons,New Haven,CT,Massachusetts State Collegiate Athletic Conference
Albion College,Britons,Albion,MI,Michigan Intercollegiate Athletic Association
Albright College,Lions,Reading,PA,MAC Commonwealth
Alfred State College,Pioneers,Alfred,NY,Allegheny Mountain Collegiate Conference
Alfred University,Saxons,Alfred,NY,Empire 8
Allegheny College,Gators,Meadville,PA,Presidents' Athletic Conference
Alma College,Scots,Alma,MI,Michigan Intercollegiate Athletic Association
Alvernia University,Golden Wolves,Reading,PA,MAC Commonwealth
Alverno College,Inferno,Milwaukee,WI,Northern Athletics Collegiate Conference
Amherst College,Mammoths,Amherst,MA,New England Small College Athletic Conference
Anderson University,Ravens and Lady Ravens,Anderson,IN,Heartland Collegiate Athletic Conference
Anna Maria College,Amcats,Paxton,MA,Massachusetts State Collegiate Athletic Conference
Arcadia University,Knights,Glenside,PA,MAC Freedom
Asbury University,Eagles,Wilmore,KY,Southern Collegiate Athletic Conference
Augsburg University,Auggies,Minneapolis,MN,Minnesota Intercollegiate Athletic Conference
Augustana College,Vikings,Rock Island,IL,College Conference of Illinois and Wisconsin
Aurora University,Spartans,Aurora,IL,Northern Athletics Collegiate Conference
Austin College,Kangaroos,Sherman,TX,Southern Collegiate Athletic Conference
Averett University,Cougars,Danville,VA,Old Dominion Athletic Conference
Babson College,Beavers,Wellesley,MA,New England Women's and Men's Athletic Conference
Baldwin Wallace University,Yellow Jackets,Berea,OH,Presidents' Athletic Conference
Bard College,Raptors,Annandale-on-Hudson,NY,Liberty League
Baruch College,Bearcats,New York,NY,City University of New York Athletic Conference
Bates College,Bobcats,Lewiston,ME,New England Small College Athletic Conference
Belhaven University,Blazers,Jackson,MS,Southern Collegiate Athletic Conference
Beloit College,Buccaneers,Beloit,WI,Midwest Conference
Benedictine University,Eagles,Lisle,IL,Northern Athletics Collegiate Conference
Berea College,Mountaineers,Berea,KY,Heartland Collegiate Athletic Conference
Berry College,Vikings,Mount Berry,GA,Southern Collegiate Athletic Conference
Bethany College,Bison,Bethany,WV,Presidents' Athletic Conference
Bethany Lutheran College,Vikings,Mankato,MN,Upper Midwest Athletic Conference
Bethel University,Royals,Arden Hills,MN,Minnesota Intercollegiate Athletic Conference
Blackburn College,Beavers,Carlinville,IL,St. Louis Intercollegiate Athletic Conference
Bluffton University,Beavers,Bluffton,OH,Heartland Collegiate Athletic Conference
Bowdoin College,Polar Bears,Brunswick,ME,New England Small College Athletic Conference
Brandeis University,Judges,Waltham,MA,University Athletic Association
Brevard College,Tornados,Brevard,NC,USA South Athletic Conference
Bridgewater College,Eagles,Bridgewater,VA,Old Dominion Athletic Conference
Bridgewater State University,Bears,Bridgewater,MA,Massachusetts State Collegiate Athletic Conference
Brooklyn College,Bulldogs,Brooklyn,NY,City University of New York Athletic Conference
Bryn Athyn College,Lions,Bryn Athyn,PA,United East Conference
Bryn Mawr College,Owls,Bryn Mawr,PA,Centennial Conference
Buena Vista University,Beavers,Storm Lake,IA,American Rivers Conference
Buffalo State University,Bengals,Buffalo,NY,State University of New York Athletic Conference
Cairn University,Highlanders,Langhorne,PA,United East Conference
California Institute of Technology,Beavers,Pasadena,CA,Southern California Intercollegiate Athletic Conference
California Lutheran University,Kingsmen and Regals,Thousand Oaks,CA,Southern California Intercollegiate Athletic Conference
Calvin University,Knights,Grand Rapids,MI,Michigan Intercollegiate Athletic Association
Capital University,Crusaders,Bexley,OH,Presidents' Athletic Conference
Carleton College,Knights,Northfield,MN,Minnesota Intercollegiate Athletic Conference
Carlow University,Celtics,Pittsburgh,PA,Allegheny Mountain Collegiate Conference
Carnegie Mellon University,Tartans,Pittsburgh,PA,University Athletic Association
Carroll University,Pioneers,Waukesha,WI,College Conference of Illinois and Wisconsin
Carthage College,Firebirds,Kenosha,WI,College Conference of Illinois and Wisconsin
Case Western Reserve University,Spartans,Cleveland,OH,University Athletic Association
Catholic University of America,Cardinals,Washington,DC,Landmark Conference
City College of New York,Beavers,New York,NY,City University of New York Athletic Conference
Cedar Crest College,Falcons,Allentown,PA,United East Conference
